Category,2016_Type,2016_Name,2016_Label,2022_Type,2022_Name,2022_Label,Mapping_Status
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10113,Assistance to breathe,select_one YES_NO_DK_REF,Id10113,Assistance to breathe,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10114,Born dead,select_one YES_NO_DK_REF,Id10114,Born dead,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10115,Bruises/injury,select_one YES_NO_DK_REF,Id10115,Bruises/injury,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10116,Body soft/macerated,select_one YES_NO_DK_REF,Id10116,Body soft/macerated,Mapped
## 6. NEONATE-ONLY QUESTIONS,end group,-,-,end group,-,-,Mapped
## 6. NEONATE-ONLY QUESTIONS,begin group,neonatal_childC,Neonate questions C,begin group,neonatal_childC,Neonate questions C,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10284,Cold to touch,select_one YES_NO_DK_REF,Id10284,Cold to touch,Mapped
## 6. NEONATE-ONLY QUESTIONS,integer,Id10285,Age when cold started,-,-,-,REMOVED
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10286,Lethargic,select_one YES_NO_DK_REF,Id10286,Lethargic,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10287,Redness/pus from cord,select_one YES_NO_DK_REF,Id10287,Redness/pus from cord,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10288,Skin ulcers,select_one YES_NO_DK_REF,Id10288,Skin ulcers,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10289,Yellow skin/palms,select_one YES_NO_DK_REF,Id10289,Yellow skin/palms,Mapped
## 6. NEONATE-ONLY QUESTIONS,select_one YES_NO_DK_REF,Id10290,Appeared healthy then died,-,-,-,REMOVED
## 6. NEONATE-ONLY QUESTIONS,end group,-,-,end group,-,-,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),begin group,pregnancy_women,Pregnancy and women,begin group,pregnancy_women,Pregnancy and women,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10294,Swelling/lump in breast,select_one YES_NO_DK_REF,Id10294,Swelling/lump/ulcer in breast,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10295,Ulcers in breast,-,-,-,REMOVED (merged)
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10296,Ever menstruated,select_one YES_NO_DK_REF,Id10296,Ever menstruated,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10297,Bleeding between periods,-,-,-,REMOVED
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10298,Bleeding excessive,-,-,-,REMOVED
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10301,Excessive vaginal bleeding week before death,select_one YES_NO_DK_REF,Id10301,Excessive vaginal bleeding week before death,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10299,Menopause,select_one YES_NO_DK_REF,Id10299,Menopause,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10300,Bleeding after menopause,select_one YES_NO_DK_REF,Id10300,Bleeding after menopause,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10302,Period overdue,select_one YES_NO_DK_REF,Id10302,Period overdue,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),integer,Id10303,Weeks overdue,integer,Id10303,Weeks overdue,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10304,Sharp abdominal pain before death,select_one YES_NO_DK_REF,Id10304,Sharp abdominal pain in first 3 months,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),-,-,-,select_one YES_NO_DK_REF,Id10304_a,Fainted with abdominal pain,NEW
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10305,Pregnant at death,select_one YES_NO_DK_REF,Id10305,Pregnant (not in labour) at death,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10306,Died within 6 weeks of delivery,select_one YES_NO_DK_REF,Id10306,Died within 6 weeks after delivery,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10307,Died >6 weeks after pregnant,-,-,-,REMOVED
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10308,Died <1 year after pregnant/delivery,select_one YES_NO_DK_REF,Id10308,Died <1 year after delivery/abortion/miscarriage,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),integer,Id10309,Months pregnant,integer,Id10309,Months pregnant,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF2,Id10310,Confirm not maternal death,select_one confirm,Id10310,Confirm not maternal death,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),note,Id10310_check,Validation note,-,-,-,REMOVED
## 7. FEMALE-ONLY QUESTIONS (Adults),begin group,group_maternal,Maternal death questions,begin group,group_maternal,Maternal death questions,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10312,Died during labour/delivery,select_one YES_NO_DK_REF,Id10312,Died during labour/delivery,Mapped
## 7. FEMALE-ONLY QUESTIONS (Adults),select_one YES_NO_DK_REF,Id10313,Died after delivering,select_one YES_NO_DK_REF,,,
